Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
γεγονότι	γίνομαι	perfect	actv	participle	—	sg	Ac 4:21
γίνωνται	γίνομαι	pres	either middle or passive	subjunctive	3p	pl	1 Co 16:2
γίνεσθαι	γίνομαι	pres	either middle or passive	infinitive	—	—	Lk 21:7,Lk 21:28,Lk 21:36,Ac 4:30,Ac 14:3,Ac 26:22,Ac 27:33,1 Co 7:36,1 Co 10:20,Jas 3:10
Γενομένων	γίνομαι	aor	mid	participle	—	pl	Ac 21:17
γενηθέντων	γίνομαι	aor	pass	participle	—	pl	Heb 4:3
γεγονὸς	γίνομαι	perfect	actv	participle	—	sg	Mk 5:14,Lk 2:15,Lk 8:34,Lk 8:35,Ac 5:7,Ac 13:12
Γενομένης	γίνομαι	aor	mid	participle	—	sg	Lk 4:42,Ac 12:18,Ac 23:12
γένωνται	γίνομαι	aor	mid	subjunctive	3p	pl	1 Co 11:19,Mt 4:3,Jn 9:39,Jn 12:42
ἐγενήθη	γίνομαι	aor	pass	indicative	3p	sg	Mt 21:42,Mk 12:10,Lk 18:23,Lk 20:17,Ac 4:4,Ro 16:2,1 Co 1:30,1 Co 15:10,2 Co 3:7,2 Co 7:14,1 Th 1:5,1 Pe 2:7
γινομένων	γίνομαι	pres	either middle or passive	participle	—	pl	Ac 24:2
γινώμεθα	γίνομαι	pres	either middle or passive	subjunctive	1p	pl	Ga 5:26,3 Jn 8
γενέσθω	γίνομαι	aor	mid	imperative	3p	sg	1 Co 3:18
γενομένοις	γίνομαι	aor	mid	participle	—	pl	Mt 14:6,Mk 16:10,Ac 15:25
γεγονότας	γίνομαι	perfect	actv	participle	—	pl	Jas 3:9
γεγενημένον	γίνομαι	perfect	pass	participle	—	sg	Jn 2:9
