Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ᾖ	εἰμί	pres	actv	subjunctive	3p	—	—	sg	verb	Mt 6:4,Mt 6:22,Mt 6:23,Mt 10:13,Mt 10:13,Mt 20:4,Mt 24:28,Mk 5:18,Lk 10:6,Lk 11:34,Lk 11:34,Lk 14:8,Lk 20:28,Jn 3:2,Jn 3:27,Jn 6:65,Jn 9:31,Jn 14:16,Jn 15:11,Jn 16:24,Jn 17:26,Ac 5:38,Ro 9:27,1 Co 1:10,1 Co 2:5,1 Co 5:11,1 Co 7:34,1 Co 7:36,1 Co 12:25,1 Co 14:28,1 Co 15:28,1 Co 16:4,2 Co 1:17,2 Co 4:7,Ga 5:10,Eph 5:27,2 Ti 3:17,Phm 14,Jas 5:15,1 Jn 1:4,2 Jn 12,1 Ti 4:15,Tt 1:9
ἤμεθα	εἰμί	impft	mid	indicative	1p	—	—	pl	verb	Mt 23:30,Mt 23:30,Ac 27:37,Ga 4:3,Eph 2:3
ἔσονται	εἰμί	futr	mid	indicative	3p	—	—	pl	verb	Mt 12:27,Mt 19:5,Mt 19:30,Mt 20:16,Mt 24:7,Mt 24:40,Mk 10:8,Mk 10:31,Mk 13:8,Mk 13:8,Mk 13:19,Mk 13:25,Lk 11:19,Lk 12:52,Lk 13:30,Lk 13:30,Lk 17:34,Lk 17:35,Lk 21:11,Lk 21:25,Jn 6:45,1 Co 6:16,Eph 5:31,2 Ti 2:2,2 Ti 3:2,2 Pe 2:1,Jud 18,Re 20:6,Re 21:3
Ἔστωσαν	εἰμί	pres	actv	imperative	3p	—	—	pl	verb	Lk 12:35
ἔσῃ	εἰμί	futr	mid	indicative	2p	—	—	sg	verb	Lk 1:20,Lk 5:10,Lk 14:14,Lk 23:43,Ac 13:11,Ac 22:15,Eph 6:3,1 Ti 4:6
ὤν	εἰμί	pres	actv	participle	—	mas	nom	sg	verb	Jn 3:4,2 Co 8:9,Ga 2:3,Ga 4:1,Ga 6:3
ἦσθα	εἰμί	impft	mid	indicative	2p	—	—	sg	verb	Mt 26:69,Mk 14:67
Οὔσης	εἰμί	pres	actv	participle	—	fem	gen	sg	verb	Jn 20:19
ὦσιν	εἰμί	pres	actv	subjunctive	3p	—	—	pl	verb	Mk 3:14,Jn 17:11,Jn 17:19,Jn 17:21,Jn 17:21,Jn 17:22,Jn 17:23,Jn 17:24,1 Co 7:29,1 Ti 5:7,Tt 3:14,Jas 2:15
εἶναι	εἰμί	pres	actv	infinitive	—	—	—	—	verb	Mt 16:13,Mt 16:15,Mt 17:4,Mt 19:21,Mt 20:27,Mt 22:23,Mk 8:27,Mk 8:29,Mk 9:5,Mk 9:35,Mk 10:44,Mk 12:18,Mk 14:64,Lk 2:4,Lk 2:6,Lk 2:44,Lk 4:41,Lk 5:12,Lk 8:38,Lk 9:18,Lk 9:18,Lk 9:20,Lk 9:33,Lk 11:1,Lk 11:8,Lk 19:11,Lk 20:6,Lk 20:20,Lk 20:27,Lk 20:41,Lk 22:24,Lk 23:2,Jn 1:46,Jn 7:4,Jn 17:5,Ac 2:12,Ac 4:32,Ac 13:25,Ac 16:13,Ac 16:15,Ac 17:7,Ac 17:18,Ac 17:20,Ac 18:3,Ac 18:5,Ac 18:15,Ac 18:28,Ac 19:1,Ac 23:8,Ac 27:4,Ac 28:6,Ro 1:20,Ro 1:22,Ro 2:19,Ro 3:9,Ro 3:26,Ro 4:11,Ro 4:13,Ro 4:16,Ro 7:3,Ro 8:29,Ro 9:3,Ro 14:14,Ro 16:19,1 Co 3:18,1 Co 7:7,1 Co 7:25,1 Co 7:26,1 Co 7:32,1 Co 10:6,1 Co 11:16,1 Co 11:19,1 Co 12:23,1 Co 14:37,2 Co 5:9,2 Co 7:11,2 Co 10:7,2 Co 11:16,Ga 2:9,Ga 4:21,Eph 1:4,Eph 1:12,Eph 3:6,Php 1:23,Php 2:6,Php 3:8,Php 4:11,1 Ti 1:7,1 Ti 2:12,1 Ti 3:2,1 Ti 6:5,1 Ti 6:18,2 Ti 2:24,Tt 1:7,Tt 2:2,Tt 2:4,Tt 2:9,Tt 3:2,Heb 5:12,Heb 11:4,Heb 12:11,Jas 1:18,Jas 1:26,Jas 4:4,1 Pe 1:21,1 Pe 5:12,1 Jn 2:9,Re 2:9,Re 3:9,Ac 17:29,Ro 6:11,2 Co 9:5,1 Th 2:7,Tt 3:1
Ἔσται	εἰμί	futr	mid	indicative	3p	—	—	sg	verb	2 Ti 4:3
